id,user_id,image_filename,category,latitude,longitude,date,caption
1,user_alpha,alpha_hospital_01.jpg,Hospital,61.1880,-149.8203,2026-01-05 09:30:00,"First day of outpatient treatment. The fluorescent lights feel harsh and the waiting room smells like bleach. I don't want to be here but I have no choice."
2,user_alpha,alpha_residential_01.jpg,Residential,61.2100,-149.9000,2026-01-08 14:15:00,"Stayed in bed most of the day. My apartment feels like a cage. Ate cereal at 3pm because I forgot about lunch."
3,user_alpha,alpha_park_01.jpg,Park,61.2058,-149.9141,2026-01-12 11:00:00,"Therapist said I need to get outside. Made it to the lagoon but sat on a bench for five minutes and left. Everything feels heavy."
4,user_alpha,alpha_shelter_01.jpg,Shelter,61.2170,-149.8800,2026-01-15 16:45:00,"Volunteered at the soup kitchen today because my counselor suggested it. Seeing people worse off didn't make me feel better. It made me feel guilty for feeling bad."
5,user_alpha,alpha_hospital_02.jpg,Hospital,61.1862,-149.8783,2026-01-19 10:45:00,"Follow-up appointment. New medication feels like it's making me dizzy. The doctor keeps asking me to rate my mood on a scale. I said four."
6,user_alpha,alpha_church_01.jpg,Church,61.2140,-149.8900,2026-01-22 10:00:00,"Went to Sunday service for the first time in years. I couldn't focus on anything the pastor said but the music made me cry. Not sure if that's good or bad."
7,user_alpha,alpha_cafe_01.jpg,Cafe,61.1903,-149.8684,2026-01-25 08:30:00,"Forced myself to have coffee somewhere other than my kitchen. The barista asked how I was doing and I almost told her the truth. Said fine instead."
8,user_alpha,alpha_park_02.jpg,Park,61.1958,-149.9642,2026-01-28 15:45:00,"Went back to the park. Stayed longer this time. Watched some kids playing on the swings and remembered what it felt like to not carry anything."
9,user_alpha,alpha_community_01.jpg,Community Center,61.2090,-149.8650,2026-02-01 18:00:00,"Group session at the community center. Met someone who's been sober for two years. She looked normal. Like someone I'd see at the grocery store."
10,user_alpha,alpha_restaurant_01.jpg,Restaurant,61.2173,-149.8884,2026-02-04 18:30:00,"Had dinner out alone. Read a book at the table. The waiter didn't judge me for being solo. Pasta tasted better than anything I've had in months."
11,user_alpha,alpha_library_01.jpg,Library,61.2156,-149.8826,2026-02-07 13:00:00,"Spent two hours at the library. Found a quiet corner and just read. My mind didn't race for the first time in weeks."
12,user_alpha,alpha_hospital_03.jpg,Hospital,61.1880,-149.8203,2026-02-10 09:40:00,"Monthly check-in. Doctor said my bloodwork looks better. I mentioned I've been sleeping more than four hours. She seemed genuinely happy for me."
